Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
D1,17/04/15,Ein Frankfurt,M'gladbach,,,,,,,4.2,3.75,1.85,4.1,3.5,1.85,3.3,3.3,2.1,4.1,3.8,1.85,4.07,4.02,1.9,4,3.75,1.85,,,,4.1,4,1.87,47,4.45,3.95,4.15,3.75,2.1,1.87,40,1.7,1.64,2.41,2.23,28,0.5,2.05,1.97,1.99,1.87
D1,18/04/15,Augsburg,Stuttgart,,,,,,,2.2,3.4,3.3,2.2,3.25,3.2,2.2,3.3,3.1,2.15,3.4,3.5,2.23,3.56,3.44,2.25,3.2,3.3,,,,2.25,3.5,3.4,49,2.25,2.17,3.57,3.38,3.5,3.35,45,2.01,1.95,1.95,1.85,30,-0.5,2.24,2.16,1.76,1.71
D1,18/04/15,Dortmund,Paderborn,,,,,,,1.22,6.5,13,1.25,6,10,1.28,5.7,8.3,1.22,6.5,13,1.27,6.51,12.78,1.29,5,12,,,,1.25,6.5,13,49,1.29,1.24,7,6.16,15,12.46,37,1.54,1.5,2.63,2.52,30,-2,2.26,2.17,1.79,1.7
D1,18/04/15,Freiburg,Mainz,,,,,,,2.8,3.3,2.6,2.65,3.2,2.65,2.6,3.2,2.6,2.8,3.3,2.6,2.93,3.36,2.62,2.75,3.2,2.62,,,,2.9,3.3,2.6,49,2.94,2.81,3.4,3.26,2.66,2.55,45,2.05,1.96,1.94,1.84,31,0,2.11,2.02,1.86,1.81
D1,18/04/15,Hertha,FC Koln,,,,,,,2.5,3.1,3.1,2.55,3.1,2.85,2.4,3.05,3,2.5,3.1,3.1,2.57,3.12,3.22,2.62,3,2.9,,,,2.63,3.1,3.13,49,2.7,2.51,3.2,3.05,3.34,3.03,37,2.65,2.5,1.55,1.51,31,0,1.81,1.76,2.19,2.09
D1,18/04/15,Hoffenheim,Bayern Munich,,,,,,,5.5,4.2,1.6,4.75,4,1.65,3.8,3.8,1.8,5.5,4.2,1.6,5.56,4.39,1.63,5,4.2,1.62,,,,5.25,4.2,1.67,49,5.6,5.2,4.4,4.12,1.8,1.62,37,1.66,1.6,2.47,2.29,32,1,1.87,1.81,2.12,2.04
D1,18/04/15,Leverkusen,Hannover,,,,,,,1.36,5.25,8,1.37,4.75,7.75,1.35,5,7.3,1.36,5,9,1.37,5.35,9.87,1.36,4.8,8.5,,,,1.36,5.25,9.5,49,1.38,1.34,5.6,5.03,10.25,9.11,39,1.66,1.6,2.51,2.29,32,-1.5,2.06,1.99,1.94,1.86
D1,19/04/15,Werder Bremen,Hamburg,,,,,,,2,3.5,3.8,2,3.4,3.6,2.05,3.4,3.4,2,3.6,3.8,2,3.72,3.96,2.05,3.4,3.6,,,,2,3.7,3.8,49,2.05,1.98,3.74,3.53,3.96,3.73,45,1.87,1.8,2.15,2,31,-0.5,2.02,1.97,1.93,1.87
D1,19/04/15,Wolfsburg,Schalke 04,,,,,,,1.7,3.8,5,1.7,3.6,5,1.75,3.7,4.1,1.75,4,4.5,1.77,4.06,4.82,1.75,3.5,5,,,,1.75,4,4.75,49,1.77,1.72,4.1,3.85,5.1,4.69,38,1.69,1.63,2.45,2.23,28,-1,2.34,2.22,1.78,1.68
D2,17/04/15,Ingolstadt,Fortuna Dusseldorf,,,,,,,1.5,4,7,1.55,3.8,5.75,1.5,4,6.1,1.5,3.75,6.5,1.53,4.25,7.21,1.53,3.75,6,,,,1.53,4.2,7,48,1.55,1.51,4.27,3.9,7.21,6.68,44,2.08,1.99,1.95,1.8,30,-1,1.95,1.89,2,1.92
D2,17/04/15,Sandhausen,Karlsruhe,,,,,,,4.33,3.2,1.95,3.75,3.2,2,3.6,3.3,2,3.75,3.2,2,4.44,3.37,1.99,3.6,3.2,2,,,,4.2,3.3,2,48,4.44,3.99,3.4,3.21,2.03,1.96,41,2.45,2.34,1.65,1.57,28,0.5,1.95,1.86,2.01,1.95
D2,17/04/15,St Pauli,Nurnberg,,,,,,,2.55,3.4,2.63,2.6,3.1,2.7,2.2,3.3,3.1,2.45,3.3,2.7,2.64,3.36,2.86,2.45,3.2,2.7,,,,2.55,3.4,2.8,48,2.64,2.54,3.44,3.24,3.1,2.73,45,2.07,1.99,1.93,1.79,29,0,1.93,1.84,2.2,1.96
D2,18/04/15,Aalen,Braunschweig,,,,,,,2.88,3.2,2.5,2.7,3.2,2.55,2.9,3.3,2.3,2.75,3.1,2.5,2.81,3.24,2.73,2.8,3,2.5,,,,2.8,3.25,2.7,48,2.9,2.76,3.3,3.12,2.73,2.57,42,2.34,2.23,1.72,1.63,29,0,2.01,1.95,1.94,1.86
D2,18/04/15,Munich 1860,Bochum,,,,,,,2.5,3.4,2.7,2.55,3.2,2.65,2.3,3.3,2.9,2.5,3.3,2.62,2.52,3.5,2.88,2.5,3.3,2.6,,,,2.5,3.4,2.8,48,2.6,2.47,3.52,3.33,2.88,2.72,46,1.84,1.76,2.13,2.03,29,0,1.86,1.81,2.1,2.01
D2,19/04/15,Darmstadt,Heidenheim,,,,,,,1.73,3.5,5,1.8,3.4,4.33,1.65,3.7,4.9,1.73,3.4,4.75,1.78,3.54,5.36,1.85,3.2,4.2,,,,1.8,3.5,5,46,1.85,1.76,3.7,3.4,5.36,4.76,38,2.31,2.21,1.7,1.63,26,-0.75,2.06,2,1.88,1.82
D2,19/04/15,Erzgebirge Aue,Frankfurt FSV,,,,,,,2.25,3.25,3.25,2.3,3.3,2.95,2.1,3.3,3.3,2.3,3.2,3,2.24,3.37,3.47,2.3,3.1,3,,,,2.3,3.3,3.3,46,2.3,2.23,3.4,3.21,3.47,3.19,41,2.17,2.07,1.8,1.73,26,-0.25,1.98,1.92,1.98,1.9
D2,19/04/15,Greuther Furth,Union Berlin,,,,,,,1.8,3.6,4.33,1.87,3.4,4,1.8,3.5,4.2,1.85,3.4,4,1.83,3.6,4.83,1.83,3.4,4,,,,1.85,3.6,4.5,46,1.9,1.81,3.6,3.44,4.83,4.32,41,2.1,2.02,1.86,1.76,27,-0.5,1.88,1.82,2.09,2
D2,20/04/15,Kaiserslautern,RB Leipzig,,,,,,,1.67,3.5,5.5,1.7,3.6,4.6,1.7,3.7,4.5,1.67,3.5,5,1.69,3.76,5.81,1.65,3.5,5,,,,1.7,3.75,5.4,45,1.7,1.66,3.85,3.55,5.9,5.26,41,2.17,2.07,1.85,1.73,25,-0.75,1.96,1.88,2,1.94
E0,18/04/15,Chelsea,Man United,,,,,,,2,3.4,4.33,2,3.5,3.9,2,3.3,3.6,2,3.4,4,2,3.45,4.33,2,3.3,4.33,,,,2,3.4,4.3,50,2.2,2,3.56,3.37,4.33,4,46,2.18,2.08,1.82,1.75,30,-0.5,2.04,1.98,1.94,1.88
E0,18/04/15,Crystal Palace,West Brom,,,,,,,1.95,3.5,4.5,1.95,3.4,3.75,1.9,3.45,3.8,1.95,3.5,4,1.92,3.5,4.69,1.95,3.25,4.2,,,,1.95,3.3,4.4,50,1.95,1.92,3.6,3.41,4.69,4.26,47,2.28,2.15,1.75,1.69,31,-0.5,1.93,1.9,2.02,1.96
E0,18/04/15,Everton,Burnley,,,,,,,1.73,3.8,5.5,1.72,3.8,5,1.7,3.8,4.3,1.73,3.75,5,1.76,3.81,5.29,1.75,3.5,5,,,,1.73,3.8,5.5,50,1.76,1.71,3.85,3.7,5.6,5.18,47,2.08,1.96,1.91,1.84,30,-0.75,2,1.92,1.98,1.94
E0,18/04/15,Leicester,Swansea,,,,,,,2.15,3.4,3.75,2.15,3.3,3.3,2.1,3.3,3.3,2.2,3.4,3.4,2.1,3.53,3.83,2.15,3.3,3.4,,,,2.15,3.5,3.6,50,2.2,2.11,3.55,3.4,3.83,3.55,48,1.95,1.89,2.01,1.91,30,-0.25,1.86,1.81,2.15,2.06
E0,18/04/15,Stoke,Southampton,,,,,,,3.5,3.25,2.3,3,3.3,2.3,2.9,3.3,2.3,3.2,3.25,2.38,3.58,3.28,2.29,3.2,3.2,2.3,,,,3.5,3.13,2.38,50,3.58,3.36,3.32,3.21,2.38,2.27,43,2.41,2.31,1.67,1.6,30,0.25,2,1.94,1.98,1.92
E0,19/04/15,Man City,West Ham,,,,,,,1.25,6.5,11,1.28,6,11,1.27,5.2,10,1.29,6,11,1.25,6.76,13.35,1.29,5,12,,,,1.29,6,12,50,1.29,1.25,7.1,6.05,13.35,11.88,40,1.5,1.46,2.95,2.66,30,-2,2.22,2.15,1.79,1.73
E0,19/04/15,Newcastle,Tottenham,,,,,,,3.3,3.5,2.3,3.3,3.3,2.3,2.65,3.3,2.5,3.2,3.4,2.3,3.3,3.53,2.32,3.2,3.1,2.38,,,,3.13,3.5,2.4,50,3.42,3.19,3.52,3.36,2.5,2.28,48,1.88,1.82,2.1,1.98,29,0.5,1.72,1.67,2.31,2.25
E1,17/04/15,Norwich,Middlesbrough,,,,,,,1.95,3.5,4.33,1.95,3.2,3.9,2,3.2,3.3,2,3.4,4,1.99,3.51,4.3,2,3.4,3.8,,,,1.95,3.5,4.33,48,2,1.95,3.57,3.36,4.43,4.02,44,2.28,2.16,1.77,1.67,30,-0.5,2,1.93,1.96,1.89
